"","Site","Age.cal.BP","Hill_N1","Abies","Acer","Aconitum","Adonis","Aesculus","Alnus","Alnus.alnobetula","Amaranthaceae","Amaryllidaceae","Amygdaloideae","Andromeda","Apiaceae","Aquilegia","Arbutus","Arctostaphylos","Argania","Artemisia","Asparagaceae","Asteraceae","Asteraceae..Liguliflorae.","Asteroideae","Astragalus","Berberis","Betula","Betula..Chamaebetula.","Boraginaceae","Brassicaceae","Bruckenthalia","Buxus","Calluna","Campanulaceae","Caprifoliaceae","Caragana","Carduoideae","Carpinus.betulus","Carpinus.orientalis.Ostrya","Caryophyllaceae","Cassiope","Castanea","Cedrus","Celastraceae","Celtis","Ceratonia","Cichorioideae","Cistaceae","Cistus","Clematis","Colchicaceae","Convolvulaceae","Cornus","Corylus","Cotinus","Crassulaceae","Crataegus","Cupressaceae","Cyperaceae","Cytinaceae","Daphne","Delphinium","Dennstaedtiaceae","Diapensia","Dryas","Empetrum","Ephedra","Equisetum","Erica","Ericaceae","Euonymus","Euphorbiaceae","Fabaceae","Fabaceae..herbs.","Fagus","Frangula","Fraxinus","Genisteae","Gentianaceae","Geraniaceae","Halimium","Hedera","Helianthemum","Helleborus","Hippophae","Huperzia","Hypericaceae","Ilex","Impatiens","Iridaceae","Jasminum","Juglans","Juncaceae","Kalmia","Lamiaceae","Larix","Lavandula","Ledum","Ligustrum","Liliaceae","Linaceae","Linnaea","Linum","Lonicera","Lycopodium","Lysimachia","Lythraceae","Malus","Malvaceae","Melanthiaceae","Mercurialis","Montiaceae","Moraceae","Myrica","Myrtaceae","Nartheciaceae","Nerium","Nitrariaceae","Olea","Oleaceae","Onagraceae","Ononis","Ophioglossaceae","Orobanchaceae","Osmundaceae","Oxalidaceae","Oxyria.Rumex","Paliurus","Papaveraceae","Parrotia","Phillyrea","Picea","Picea.orientalis","Pinus..diploxylon.","Pinus..haploxylon.","Pistacia","Plantaginaceae","Platanus","Plumbaginaceae","Poaceae","Polemoniaceae","Polygalaceae","Polygonaceae","Polygonum","Polypodiales","Populus","Portulacaceae","Potentilla","Primulaceae","Prunus","Pteridaceae","Pterocarya","Quercus.deciduous","Quercus.evergreen","Quercus.intermediate","Ranunculaceae","Ranunculus","Resedaceae","Rhamnaceae","Rhamnus","Rhododendron","Rhus","Ribes","Rosaceae","Rosmarinus","Rubiaceae","Rubus","Ruscus","Salix","Salvia","Sambucus","Sanguisorba.group","Santalaceae","Saxifragaceae","Scrophulariaceae","Solanaceae","Sorbus","Styrax","Tamarix","Taxus","Teucrium","Thalictrum","Thymelaeaceae","Tilia","Tofieldia","Trollius","Ulmus","Ulmus.Zelkova","Urticaceae","Vaccinium","Valerianaceae","Verbenaceae","Viburnum","Violaceae","Viscum","Vitex","Ziziphus","Zygophyllaceae"
"1","Enol",2233,13.3190905767955,0,0,0,0,0,0.0247148288973384,0,0.00190114068441065,0,0,0,0,0,0,0,0,0.00380228136882129,0,0,0,0.00760456273764259,0,0,0.0798479087452472,0,0,0.00190114068441065,0,0,0,0,0,0,0,0,0,0.00190114068441065,0,0.0532319391634981,0,0,0,0,0.00950570342205323,0,0,0,0,0,0,0.140684410646388,0,0,0,0.00380228136882129,0.0228136882129278,0,0,0,0,0,0,0,0,0,0.0513307984790875,0,0,0,0.0152091254752852,0,0.0988593155893536,0,0.00380228136882129,0.0190114068441065,0,0,0,0,0,0,0,0,0,0.00190114068441065,0,0,0,0.00190114068441065,0,0,0,0,0,0,0,0.00190114068441065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285171102661597,0,0.00950570342205323,0,0,0,0,0,0,0.00190114068441065,0,0,0.032319391634981,0,0,0.110266159695817,0,0,0,0,0.00760456273764259,0,0,0,0,0,0,0,0.230038022813688,0.0152091254752852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133079847908745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00380228136882129,0,0.00190114068441065,0,0,0,0,0,0,0,0,0
"2","Enol",2726,10.6590521739787,0,0,0,0,0,0.0844277673545966,0,0,0,0,0,0.00187617260787992,0,0,0,0,0.00562851782363977,0,0,0,0,0,0,0.0694183864915572,0,0,0.00187617260787992,0,0,0.00187617260787992,0,0,0,0.00375234521575985,0,0,0.00375234521575985,0,0.00187617260787992,0,0,0,0,0.00938086303939963,0,0,0,0,0,0,0.23827392120075,0,0,0,0.00187617260787992,0.0131332082551595,0,0,0,0,0,0,0,0,0,0.0450281425891182,0,0,0,0.0131332082551595,0,0.0112570356472795,0,0.0075046904315197,0.00187617260787992,0,0,0,0.00375234521575985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375234521575985,0,0,0,0,0,0,0,0.0168855534709193,0,0,0,0,0,0,0.0318949343339587,0,0,0.0281425891181989,0,0,0.105065666041276,0,0,0,0,0.00938086303939963,0,0,0,0,0,0,0,0.25140712945591,0.0075046904315197,0,0.00375234521575985,0,0,0,0,0,0,0,0,0,0,0,0,0.00562851782363977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168855534709193,0,0,0,0,0,0,0,0,0,0,0
"3","Enol",3465,8.33319185775637,0,0,0,0,0,0.0193423597678917,0,0.00193423597678917,0,0,0,0.00193423597678917,0,0,0,0,0.00193423597678917,0,0,0,0,0,0,0.058027079303675,0,0,0,0,0,0.00193423597678917,0,0,0,0.00386847195357834,0,0,0,0,0.00386847195357834,0,0,0,0,0.00580270793036751,0,0,0,0,0,0,0.292069632495164,0,0,0,0.00193423597678917,0.0154738878143133,0,0.00580270793036751,0,0,0,0,0,0,0,0,0,0,0,0.02321083172147,0,0.00193423597678917,0,0.011605415860735,0.011605415860735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00386847195357834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0212765957446809,0,0,0,0,0,0,0.034816247582205,0,0,0.00193423597678917,0,0,0.0773694390715667,0,0,0,0,0.011605415860735,0,0,0,0,0,0,0,0.323017408123791,0.0328820116054159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00580270793036751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00193423597678917,0,0,0.02321083172147,0,0,0,0,0,0,0,0,0,0,0
"4","Enol",4081,7.38559340727437,0,0,0,0,0,0.00776699029126214,0,0,0,0,0,0.00388349514563107,0,0,0,0,0,0,0,0,0,0,0,0.0757281553398058,0,0,0.00194174757281553,0,0,0.00194174757281553,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00776699029126214,0,0,0,0,0,0,0.285436893203883,0,0,0,0,0.00970873786407767,0,0,0,0,0,0,0,0,0,0.00970873786407767,0,0,0,0.00388349514563107,0,0,0,0.0155339805825243,0.00194174757281553,0,0,0,0.00194174757281553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058252427184466,0,0,0,0,0,0,0.0815533980582524,0,0,0.00970873786407767,0,0,0.106796116504854,0,0,0,0,0.0174757281553398,0,0,0,0,0,0,0,0.314563106796116,0.0155339805825243,0,0.00776699029126214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00194174757281553,0,0,0,0.00194174757281553,0,0,0,0,0,0,0,0,0,0,0,0.00970873786407767,0,0,0,0,0,0,0,0,0,0,0
"5","Enol",4698,6.68356890100265,0,0,0,0,0,0.00583657587548638,0,0.00194552529182879,0,0,0,0,0,0,0,0,0.00972762645914397,0,0,0,0,0,0,0.0875486381322957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00194552529182879,0,0,0,0,0.00778210116731518,0,0,0,0,0,0,0.352140077821012,0,0,0,0.00778210116731518,0.00778210116731518,0,0,0,0,0,0,0,0,0,0.00778210116731518,0,0,0,0.00972762645914397,0,0.00389105058365759,0,0.0116731517509728,0.00389105058365759,0,0,0,0.00194552529182879,0,0,0,0,0,0.00194552529182879,0,0,0,0,0,0,0,0,0,0,0,0.00583657587548638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00389105058365759,0,0,0,0,0,0,0.0155642023346304,0,0,0.00778210116731518,0,0,0.0544747081712062,0,0,0,0,0.0136186770428016,0,0,0,0,0,0,0,0.33852140077821,0.0175097276264591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116731517509728,0,0,0.00389105058365759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00389105058365759,0,0,0,0,0,0,0,0,0,0,0
"6","Enol",5314,7.18096072524236,0,0,0,0,0,0.00378787878787879,0,0,0,0,0,0.00189393939393939,0,0,0,0,0.00189393939393939,0,0,0,0,0,0,0.0568181818181818,0,0,0.00189393939393939,0,0,0,0,0,0,0.00378787878787879,0,0,0,0,0.00189393939393939,0,0,0,0,0.00568181818181818,0,0,0,0,0,0,0.299242424242424,0,0,0,0,0.00757575757575758,0,0,0,0,0,0,0,0,0,0.00757575757575758,0,0,0,0.00946969696969697,0,0,0,0.0303030303030303,0.00378787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189393939393939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189393939393939,0,0,0,0,0,0,0.0965909090909091,0,0,0.00189393939393939,0,0,0.113636363636364,0,0,0,0,0.0132575757575758,0,0,0,0,0,0,0,0.301136363636364,0.0113636363636364,0,0.00189393939393939,0,0,0,0,0,0,0,0,0,0.00189393939393939,0,0,0.00189393939393939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0170454545454545,0,0,0,0,0,0,0,0,0,0,0
"7","Enol",5930,8.47181850961751,0,0.00158478605388273,0,0,0,0.00158478605388273,0,0,0,0,0,0.0063391442155309,0,0,0,0,0,0,0,0,0.00158478605388273,0,0,0.103011093502377,0,0,0.00158478605388273,0,0,0.00158478605388273,0,0.00158478605388273,0,0,0,0,0.00158478605388273,0,0,0,0,0,0,0.00475435816164818,0,0,0,0,0,0,0.255150554675119,0,0,0,0.0110935023771791,0.0063391442155309,0,0.00158478605388273,0,0.00158478605388273,0,0,0,0,0,0.00475435816164818,0,0,0,0.0063391442155309,0,0.00475435816164818,0,0.00475435816164818,0.0126782884310618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110935023771791,0,0,0,0,0,0,0.109350237717908,0,0,0,0,0,0.0887480190174326,0,0,0,0,0.00950871632329636,0,0,0,0,0,0,0,0.280507131537242,0.0253565768621236,0,0,0,0,0,0,0,0,0,0.00158478605388273,0,0,0,0,0.00792393026941363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316957210776545,0,0,0,0,0,0,0,0,0,0,0
"8","Enol",6210,6.47533425735934,0,0,0,0,0,0.00576923076923077,0,0,0,0,0,0.00576923076923077,0,0,0,0,0.00192307692307692,0,0,0,0,0,0,0.05,0,0,0,0,0,0.00192307692307692,0,0,0,0.00192307692307692,0,0,0,0,0,0,0,0,0,0.00384615384615385,0,0,0,0,0,0,0.271153846153846,0,0,0,0,0.00192307692307692,0,0,0,0,0,0,0,0,0,0.00576923076923077,0,0,0,0.00769230769230769,0,0.00576923076923077,0,0.00961538461538462,0.00192307692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00192307692307692,0,0,0,0,0,0,0,0.00192307692307692,0,0,0,0,0,0,0.125,0,0,0.00384615384615385,0,0,0.0923076923076923,0,0,0,0,0.0173076923076923,0,0,0,0,0,0,0,0.351923076923077,0.00384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269230769230769,0,0,0,0,0,0,0,0,0,0,0
"9","Enol",6490,7.67556771412441,0,0,0,0,0,0.00378787878787879,0,0,0,0,0,0.00189393939393939,0,0,0,0,0,0,0,0,0.00189393939393939,0,0,0.0473484848484848,0,0.00189393939393939,0,0,0,0,0,0,0,0.00568181818181818,0,0,0.00378787878787879,0,0.00189393939393939,0,0,0,0,0.00189393939393939,0,0,0,0,0,0,0.337121212121212,0,0,0,0.00189393939393939,0.00946969696969697,0,0,0,0,0,0,0,0,0,0.00378787878787879,0,0,0,0.0265151515151515,0,0,0,0,0.0113636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189393939393939,0,0,0,0,0.00378787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00946969696969697,0,0,0,0,0,0,0.0700757575757576,0,0,0,0,0,0.0909090909090909,0,0,0,0,0.0113636363636364,0,0,0,0,0,0,0,0.274621212121212,0.0170454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189393939393939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397727272727273,0,0.00189393939393939,0,0,0,0,0,0,0,0,0
"10","Enol",6771,6.89003505675519,0,0,0,0,0,0.00191570881226054,0,0,0,0,0,0.00383141762452107,0,0,0,0,0,0,0,0,0,0,0,0.0344827586206897,0,0.00191570881226054,0,0,0,0.00191570881226054,0,0,0,0,0,0,0.00574712643678161,0,0.00383141762452107,0,0,0,0,0,0,0,0,0,0,0,0.367816091954023,0,0,0,0,0.0153256704980843,0,0,0,0,0,0,0,0,0,0.00383141762452107,0,0,0,0.0134099616858238,0,0,0,0.00957854406130268,0.00574712643678161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191570881226054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00957854406130268,0,0,0,0,0,0,0.137931034482759,0,0,0,0,0,0.0593869731800766,0,0,0,0,0.0172413793103448,0,0,0,0,0,0,0,0.24904214559387,0.00766283524904215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00957854406130268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0383141762452107,0,0,0,0,0,0,0,0,0,0,0
