"","i","taxaName[i]","mean_abundance","max_abundance","u1","sd1","t1","u2","sd2","t2","u3","sd3","t3","min_gdd","max_gdd","min_alpha","max_alpha","min_Tmin","max_Tmin","nonzero"
"1",1,"Abies",0.0111456239496748,0.718076285,2741.06398617702,1560.66879606448,620.847666609529,0.882728944322125,0.273238511177266,0.11301491606908,-8.39988370766593,8.66241475579254,6.05396677792784,365.8830718,7574.322609,0.09529607,1.229565,-33.43363,12.12135,2410
"2",2,"Acer",0.00132571175518736,0.306766917,3435.16607204456,1560.66879606448,851.638522172739,0.804008443993573,0.273238511177266,0.169480006345033,-0.800658925714051,8.66241475579254,2.95112390315887,365.8830718,6760.988907,0.09529607,1.18783505450776,-22.08831,12.03492118,981
"3",3,"Aconitum",8.19584537008362e-05,0.148717949,2385.28295084583,1560.66879606448,718.383910038744,0.884145493176506,0.273238511177266,0.113134314673478,-14.046284038188,8.66241475579254,7.05992770957174,902.2611,6245.70717,0.415620603666257,1.19040730264038,-27.1144456,8.831739662,110
"4",4,"Adonis",1.41567852276247e-05,0.01495017,4024.04859295844,1560.66879606448,832.961670298122,0.628710412100067,0.273238511177266,0.121397337381799,0.301262985605147,8.66241475579254,4.2172434128005,1773.005735,6268.896249,0.456016644168595,1.0381468582668,-17.61830966,11.71594954,25
"5",5,"Aesculus",8.84088847940539e-05,0.1853539,3621.69657746694,1560.66879606448,428.176653277885,0.757447004539584,0.273238511177266,0.0945765452212662,-2.16964901859633,8.66241475579254,1.41451567615785,788.9852,6168.985649,0.435290570946018,1.165879,-15.48278,10.23286462,70
"6",6,"Alnus",0.0358195512683493,0.950842697,3240.42571117579,1560.66879606448,909.314679598768,0.846603574785843,0.273238511177266,0.153697236939813,-4.11084426857334,8.66241475579254,5.29480726592862,313.3904018,7574.323,0.09529607,1.24723297704425,-42.42932,12.24622,4863
"7",7,"Alnus.alnobetula",0.00350208155357696,0.616570328,1392.45661242521,1560.66879606448,300.717764776543,1.00291893755175,0.273238511177266,0.12533325751923,-15.6517378711494,8.66241475579254,9.42754966504586,365.8830718,4348.087036,0.498958854112363,1.18783505450776,-42.42932,3.030854997,511
"8",8,"Amaranthaceae",0.0287698354948901,0.939182453,4964.20513493868,1560.66879606448,1065.33584282788,0.46826132100227,0.273238511177266,0.177782904746244,2.54052557987661,8.66241475579254,4.80472183783503,313.3904018,8112.428736,0.0370743472873604,1.24130710097497,-41.81139,14.8271168,4612
"9",9,"Amaryllidaceae",3.69090013936203e-05,0.039653036,5064.7690300147,1560.66879606448,552.983502856051,0.468460358159696,0.273238511177266,0.0987572219600472,6.07714620417381,8.66241475579254,1.79787538622112,2831.037869,6908.103537,0.153815927491971,0.826983472757646,-0.885326262,14.09817271,47
"10",10,"Amygdaloideae",2.76376065345308e-05,0.021998167,1714.91227364716,1560.66879606448,267.882117983456,0.711434763332471,0.273238511177266,0.124416095138759,-20.5313254863204,8.66241475579254,1.77511762825635,975.1183752,2482.414627,0.496787426375543,0.998907499986999,-25.45969031,-16.66693293,49
"11",11,"Andromeda",5.86217791886033e-06,0.008319468,1845.15718234942,1560.66879606448,536.337599896491,1.09212545218313,0.273238511177266,0.0684747809454532,-7.13866184803902,8.66241475579254,4.63127628456528,702.0337,3071.598498,0.9417156,1.222552,-16.87685,1.688720933,28
"12",12,"Apiaceae",0.0148966848908331,0.918,3431.84813488456,1560.66879606448,1065.80127975311,0.741324934857361,0.273238511177266,0.168199962550641,-2.14155046802093,8.66241475579254,5.19772751842609,336.4414003,8112.428736,0.0370743472873604,1.24413275948597,-29.50256,14.8271168,3784
"13",13,"Aquilegia",1.08109801796222e-05,0.012084592,4538.80848592851,1560.66879606448,846.334593268441,0.517641535128101,0.273238511177266,0.118747633011556,2.09879513126786,8.66241475579254,3.97655948613243,1290.238486,6590.597922,0.170085276809605,0.829901870992711,-19.27960549,10.85465481,29
"14",14,"Arbutus",0.000455377658717869,0.322222222,4660.3063307361,1560.66879606448,409.26302098173,0.627495182138012,0.273238511177266,0.154223754295826,5.34982175876954,8.66241475579254,1.37068154878312,2165.102274,6746.622975,0.344788825657966,1.13746630119583,-2.363332534,11.91893809,179
"15",15,"Arctostaphylos",6.05275458346237e-05,0.154525386,2717.94876856311,1560.66879606448,953.278648964618,0.907235785744875,0.273238511177266,0.120748754745673,-2.53335169092818,8.66241475579254,4.98532419002025,433.1248,4198.775916,0.498958854112363,1.21322463617768,-20.05788425,3.970804135,78
